Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,882.000000,883.500000,847.000000,857.200012,857.200012,35
2009-01-06,855.099976,867.599976,840.000000,865.400024,865.400024,113
2009-01-07,862.000000,867.000000,837.700012,841.099976,841.099976,101
2009-01-08,837.900024,861.000000,837.900024,853.900024,853.900024,255
2009-01-09,855.900024,862.099976,855.900024,854.299988,854.299988,123
2009-01-12,844.400024,844.400024,815.400024,820.299988,820.299988,72
2009-01-13,825.599976,825.599976,815.700012,820.099976,820.099976,20
2009-01-14,825.900024,827.099976,814.000000,808.200012,808.200012,5
2009-01-15,805.599976,808.799988,805.599976,806.700012,806.700012,16
2009-01-16,834.000000,842.500000,834.000000,839.299988,839.299988,64
2009-01-20,838.700012,862.700012,824.000000,854.599976,854.599976,20
2009-01-21,850.500000,852.599976,843.799988,849.599976,849.599976,37
2009-01-22,856.799988,860.900024,846.200012,858.200012,858.200012,57
2009-01-23,875.000000,899.099976,875.000000,895.299988,895.299988,52
2009-01-26,907.299988,911.599976,901.200012,908.500000,908.500000,18
2009-01-27,902.799988,903.000000,895.200012,899.200012,899.200012,48
2009-01-28,886.099976,894.599976,883.700012,888.099976,888.099976,137271
2009-01-29,888.099976,909.700012,874.200012,905.099976,905.099976,66607
2009-01-30,909.799988,930.299988,902.000000,927.299988,927.299988,10460
2009-02-02,924.299988,928.799988,902.200012,906.700012,906.700012,3220
2009-02-03,903.200012,913.299988,889.799988,892.000000,892.000000,1451
2009-02-04,900.099976,909.200012,897.000000,901.599976,901.599976,465
2009-02-05,906.299988,924.400024,904.400024,913.599976,913.599976,770
2009-02-06,914.500000,918.500000,909.500000,913.900024,913.900024,334
2009-02-09,910.000000,911.000000,891.799988,892.400024,892.400024,984
2009-02-10,898.000000,917.500000,892.000000,913.700012,913.700012,252
2009-02-11,913.700012,947.200012,912.200012,943.799988,943.799988,892
2009-02-12,938.799988,952.799988,936.400024,948.500000,948.500000,335
2009-02-13,947.299988,947.299988,934.200012,941.500000,941.500000,137
2009-02-17,939.500000,973.799988,937.299988,967.000000,967.000000,1639
2009-02-18,968.400024,988.000000,962.200012,977.700012,977.700012,422
2009-02-19,982.700012,986.200012,972.000000,976.099976,976.099976,202
2009-02-20,974.000000,1004.900024,971.599976,1001.799988,1001.799988,219
2009-02-23,995.599976,996.500000,980.000000,994.599976,994.599976,215
2009-02-24,988.000000,991.599976,963.200012,969.099976,969.099976,243
2009-02-25,963.299988,977.500000,953.099976,965.700012,965.700012,1019
2009-02-26,953.000000,956.000000,933.000000,941.799988,941.799988,687
2009-02-27,943.400024,963.200012,928.099976,941.500000,941.500000,730
2009-03-02,945.000000,963.200012,924.500000,939.000000,939.000000,474
2009-03-03,927.000000,931.799988,906.400024,912.900024,912.900024,362
2009-03-04,914.900024,923.200012,900.099976,906.000000,906.000000,155
2009-03-05,912.000000,932.599976,908.900024,927.000000,927.000000,141
2009-03-06,933.500000,944.500000,931.799988,942.099976,942.099976,308
2009-03-09,940.500000,940.500000,914.500000,917.700012,917.700012,838
2009-03-10,921.599976,921.799988,892.099976,895.599976,895.599976,120
2009-03-11,894.700012,912.400024,894.099976,910.400024,910.400024,221
2009-03-12,909.200012,927.500000,908.000000,923.700012,923.700012,118
2009-03-13,924.400024,937.000000,924.400024,929.799988,929.799988,69
2009-03-16,926.400024,929.599976,916.700012,921.599976,921.599976,139
2009-03-17,923.200012,924.400024,912.400024,916.400024,916.400024,48
2009-03-18,915.400024,944.000000,885.000000,888.700012,888.700012,120
2009-03-19,938.000000,960.799988,933.799988,958.299988,958.299988,360
2009-03-20,960.599976,960.599976,954.000000,955.799988,955.799988,23
2009-03-23,950.700012,952.599976,937.900024,952.099976,952.099976,30
2009-03-24,923.299988,923.299988,923.299988,923.299988,923.299988,1494
2009-03-25,921.200012,936.500000,920.799988,935.400024,935.400024,97
2009-03-26,939.599976,943.000000,937.599976,939.599976,939.599976,66
2009-03-27,923.000000,923.000000,923.000000,923.000000,923.000000,106869
2009-03-30,924.599976,932.500000,908.599976,915.500000,915.500000,58837
2009-03-31,918.000000,924.500000,911.599976,922.599976,922.599976,7403
2009-04-01,918.599976,932.500000,916.900024,926.099976,926.099976,3659
2009-04-02,926.900024,930.299988,894.900024,907.400024,907.400024,3389
2009-04-03,904.599976,910.299988,891.299988,895.599976,895.599976,1616
2009-04-06,895.000000,895.000000,865.099976,871.500000,871.500000,1078
2009-04-07,872.200012,884.700012,872.200012,882.200012,882.200012,395
2009-04-08,884.000000,889.099976,879.000000,884.799988,884.799988,119
2009-04-09,882.400024,886.099976,874.700012,882.200012,882.200012,360
2009-04-13,882.500000,899.400024,882.500000,894.700012,894.700012,418
2009-04-14,896.099976,897.799988,887.400024,890.900024,890.900024,362
2009-04-15,890.000000,895.299988,888.900024,892.799988,892.799988,665
2009-04-16,890.900024,893.400024,872.799988,879.299988,879.299988,632
2009-04-17,874.000000,875.700012,865.000000,867.400024,867.400024,212
2009-04-20,868.799988,889.000000,866.099976,887.000000,887.000000,655
2009-04-21,886.900024,895.099976,880.700012,882.099976,882.099976,230
2009-04-22,883.099976,893.000000,883.000000,891.799988,891.799988,330
2009-04-23,893.599976,909.000000,892.599976,905.900024,905.900024,234
2009-04-24,911.200012,913.599976,906.700012,913.599976,913.599976,438
2009-04-27,918.000000,918.000000,906.299988,907.400024,907.400024,1179
2009-04-28,899.700012,899.700012,890.099976,892.799988,892.799988,308
2009-04-29,890.099976,902.500000,887.799988,899.799988,899.799988,809
2009-04-30,898.200012,898.900024,881.299988,890.700012,890.700012,212
2009-05-01,884.000000,889.200012,881.500000,887.599976,887.599976,506
2009-05-04,885.799988,907.500000,885.799988,901.599976,901.599976,83
2009-05-05,903.500000,912.299988,902.000000,903.700012,903.700012,69
2009-05-06,901.299988,911.099976,901.299988,910.500000,910.500000,30
2009-05-07,922.400024,924.000000,910.400024,915.000000,915.000000,64
2009-05-08,910.099976,915.299988,910.099976,914.400024,914.400024,156
2009-05-11,913.099976,914.400024,913.099976,913.000000,913.000000,2
2009-05-12,918.500000,923.500000,916.099976,923.500000,923.500000,24
2009-05-13,922.000000,929.700012,921.200012,925.500000,925.500000,71
2009-05-14,922.599976,922.599976,922.599976,928.000000,928.000000,1
2009-05-15,925.200012,931.599976,925.200012,930.900024,930.900024,45
2009-05-18,929.599976,932.900024,918.700012,921.299988,921.299988,71
2009-05-19,926.299988,926.299988,926.299988,926.299988,926.299988,71
2009-05-20,933.000000,940.500000,931.000000,937.000000,937.000000,67
2009-05-21,939.099976,943.900024,937.400024,950.799988,950.799988,71
2009-05-22,956.900024,958.700012,956.900024,958.500000,958.500000,12
2009-05-26,953.000000,953.500000,944.000000,953.099976,953.099976,20
2009-05-27,947.200012,956.000000,947.200012,953.200012,953.200012,151332
2009-05-28,948.599976,964.900024,944.000000,961.500000,961.500000,74257
2009-05-29,959.200012,980.400024,959.000000,978.799988,978.799988,7607
2009-06-01,978.799988,988.099976,973.000000,978.599976,978.599976,2883
2009-06-02,974.700012,986.500000,969.799988,983.200012,983.200012,2345
2009-06-03,981.700012,990.299988,961.000000,964.500000,964.500000,1187
2009-06-04,963.599976,982.000000,960.900024,981.200012,981.200012,600
2009-06-05,981.400024,983.000000,954.000000,961.700012,961.700012,714
2009-06-08,958.000000,960.099976,944.400024,951.700012,951.700012,580
2009-06-09,953.500000,963.700012,948.400024,954.000000,954.000000,684
2009-06-10,956.000000,966.000000,949.200012,954.000000,954.000000,698
2009-06-11,954.299988,961.900024,943.099976,961.299988,961.299988,583
2009-06-12,955.900024,956.500000,935.799988,940.099976,940.099976,166
2009-06-15,938.500000,938.500000,926.900024,926.900024,926.900024,258
2009-06-16,930.900024,938.599976,930.900024,931.599976,931.599976,149
2009-06-17,931.500000,937.799988,930.400024,935.400024,935.400024,29
2009-06-18,942.000000,942.000000,931.000000,934.000000,934.000000,91
